150
1738D0
4902.801076D0
1	0	 0.0000000000000D+0	 0.0000000000000D+0
1	1	 0.0000000000000D+0	 0.0000000000000D+0
2	0	-0.9090109494810D-4	 0.0000000000000D+0
2	1	-0.1862736081840D-8	-0.1424538946100D-8
2	2	 0.3463762742080D-4	 0.1440635035400D-7
3	0	-0.3203071679590D-5	 0.0000000000000D+0
3	1	 0.2634183586220D-4	 0.5463078608820D-5
3	2	 0.1418533167860D-4	 0.4889139117950D-5
3	3	 0.1228626450440D-4	-0.1782462707200D-5
4	0	 0.3214095450280D-5	 0.0000000000000D+0
4	1	-0.6000619397400D-5	 0.1659556447270D-5
4	2	-0.7093701015440D-5	-0.6785627355580D-5
4	3	-0.1358804665940D-5	-0.1343325717370D-4
4	4	-0.6029391501930D-5	 0.3935256944400D-5
5	0	-0.2210098763930D-6	 0.0000000000000D+0
5	1	-0.1035608126300D-5	-0.4115857266810D-5
5	2	 0.4381276093760D-5	 0.1095025265510D-5
5	3	 0.4546942284370D-6	 0.8701521465910D-5
5	4	 0.2772791043900D-5	 0.3077937122970D-7
5	5	 0.3126877268440D-5	-0.2753862006690D-5
6	0	 0.3764790644750D-5	 0.0000000000000D+0
6	1	 0.1534299939450D-5	-0.2572372769060D-5
6	2	-0.4344947614360D-5	-0.2179508196430D-5
6	3	-0.3281826540120D-5	-0.3498629074520D-5
6	4	 0.3719212812300D-6	-0.4057616020010D-5
6	5	 0.1428350818720D-5	-0.1028337447110D-4
6	6	-0.4710224540580D-5	 0.7226625563380D-5
7	0	 0.5613306564030D-5	 0.0000000000000D+0
7	1	 0.7533479976340D-5	-0.1315395632880D-6
7	2	-0.6607790461200D-6	 0.2378643836910D-5
7	3	 0.5746523150240D-6	 0.2364465702890D-5
7	4	-0.8996053821650D-6	 0.8437583302860D-6
7	5	-0.2791930006380D-6	 0.1089133556750D-5
7	6	-0.1034763552330D-5	 0.1031729865290D-5
7	7	-0.1784999963400D-5	-0.1603119725980D-5
8	0	 0.2319539055200D-5	 0.0000000000000D+0
8	1	-0.3986594931460D-7	 0.1117571578840D-5
8	2	 0.3012381769960D-5	 0.1942966031460D-5
8	3	-0.1884603202680D-5	 0.9536925886740D-6
8	4	 0.3387330821240D-5	-0.5025755765010D-6
8	5	-0.1178682370220D-5	 0.2841672454530D-5
8	6	-0.1537688378930D-5	-0.2176605846410D-5
8	7	-0.1534542361100D-5	 0.3320540752430D-5
8	8	-0.2526240252780D-5	 0.2127167921610D-5
9	0	-0.3542415821360D-5	 0.0000000000000D+0
9	1	 0.2007566533730D-5	 0.9172757465110D-7
9	2	 0.1969414143020D-5	-0.1468536497470D-5
9	3	-0.2022260691290D-5	 0.2201440426130D-5
9	4	-0.1890958321870D-5	-0.1367918490050D-5
9	5	-0.1502559124690D-5	-0.3606860321990D-5
9	6	-0.2202390868240D-5	-0.2954054012670D-5
9	7	-0.4062604075100D-5	 0.9962825478340D-8
9	8	-0.1297865287170D-5	-0.2243879688690D-5
9	9	-0.9065288839160D-6	 0.2466169496370D-5
10	0	-0.9330362858770D-6	 0.0000000000000D+0
10	1	 0.8142365061440D-6	-0.9891342594320D-6
10	2	 0.2331547122980D-6	-0.2766901181620D-6
10	3	 0.4182101968390D-6	 0.8111007462230D-6
10	4	-0.3573820454880D-5	 0.1575838269870D-5
10	5	 0.7132341367820D-6	-0.4109011792240D-6
10	6	-0.1760948388830D-6	-0.1952647029890D-5
10	7	-0.3913357738370D-5	-0.9550676223479D-6
10	8	-0.3434261368850D-5	 0.2688350199180D-5
10	9	-0.4752173505190D-5	-0.9009582178050D-8
10	10	 0.9354455955830D-6	-0.1697121781910D-5
11	0	-0.9603531398040D-6	 0.0000000000000D+0
11	1	-0.8236153138380D-7	 0.6255226563510D-6
11	2	 0.7248154274590D-6	-0.1938334114090D-5
11	3	 0.4349363031100D-6	 0.7583649256350D-6
11	4	-0.9846898435560D-6	 0.2050347784700D-5
11	5	 0.1450078039110D-6	 0.2559194251390D-5
11	6	 0.5291351443520D-6	-0.1289891146780D-5
11	7	-0.9726138783030D-7	-0.3013765542980D-5
11	8	-0.2200336156010D-5	-0.3122757434490D-6
11	9	-0.2391411275420D-5	 0.4204885644500D-6
11	10	-0.4699846425120D-5	-0.2419464006850D-6
11	11	-0.2893566698500D-5	-0.1762677704920D-5
12	0	-0.1886921625400D-5	 0.0000000000000D+0
12	1	-0.6181406069530D-6	 0.1593705580140D-5
12	2	-0.1898842712250D-6	 0.1468961910240D-5
12	3	 0.8463322722850D-6	-0.4009030319500D-5
12	4	 0.8883807008550D-6	-0.4164794807660D-6
12	5	-0.1117697721060D-6	 0.9607959832360D-6
12	6	 0.8906291433680D-6	 0.6507596841630D-6
12	7	 0.2076639638400D-5	-0.9684346815900D-6
12	8	 0.5034009723260D-6	-0.2049059747260D-5
